Year,Pivot Field Names,Pivot Field Values
2013,Coal Elec Per Capita,104011.098
2014,Coal Elec Per Capita,100425.152
2015,Coal Elec Per Capita,99724.903
2016,Coal Elec Per Capita,98338.002
2017,Coal Elec Per Capita,97536.379
2018,Coal Elec Per Capita,96606.644
2019,Coal Elec Per Capita,89229.379
1985,Biofuel Elec Per Capita,0
1986,Biofuel Elec Per Capita,0
1987,Biofuel Elec Per Capita,0
1988,Biofuel Elec Per Capita,0
1989,Biofuel Elec Per Capita,0
1990,Biofuel Elec Per Capita,0
1991,Biofuel Elec Per Capita,0
1992,Biofuel Elec Per Capita,0
1993,Biofuel Elec Per Capita,0
1994,Biofuel Elec Per Capita,0
1995,Biofuel Elec Per Capita,0
1996,Biofuel Elec Per Capita,0
1997,Biofuel Elec Per Capita,0
1998,Biofuel Elec Per Capita,0
1999,Biofuel Elec Per Capita,0
2000,Biofuel Elec Per Capita,6212.661
2001,Biofuel Elec Per Capita,6429.162
2002,Biofuel Elec Per Capita,6930.146
2003,Biofuel Elec Per Capita,7293.288
2004,Biofuel Elec Per Capita,8371.596
2005,Biofuel Elec Per Capita,8703.236
2006,Biofuel Elec Per Capita,9544.377
2007,Biofuel Elec Per Capita,9885.59
2008,Biofuel Elec Per Capita,10595.851
2009,Biofuel Elec Per Capita,11004.875
2010,Biofuel Elec Per Capita,12967.056
2011,Biofuel Elec Per Capita,13455.601
2012,Biofuel Elec Per Capita,14415.803
2013,Biofuel Elec Per Capita,14697.378
2014,Biofuel Elec Per Capita,15283.774
2015,Biofuel Elec Per Capita,15943.546
2016,Biofuel Elec Per Capita,16726.491
2017,Biofuel Elec Per Capita,17505.713
2018,Biofuel Elec Per Capita,18289.54
2019,Biofuel Elec Per Capita,18483.436
