iso_code,country,year,biofuel,coal,gas,hydro,nuclear,oil,renewables,solar,wind,total
PAN,Panama,2019,7.694,105.909,141.212,1955.566,0,231.587,2192.887,69.477,160.151,2671.595
THA,Thailand,2019,268.377,483.651,1649.612,91.484,0,15.982,486.782,74.426,52.495,2636.027
MEX,Mexico,2019,23.468,188.436,1474.411,186.909,85.29,276.496,433.936,51.663,131.973,2458.569
ARM,Armenia,2019,0,0,968.283,793.54,685.936,0,798.949,4.395,1.014,2453.168
AZE,Azerbaijan,2019,15.459,0,1127.83,154.195,0,1132.549,187.468,4.379,13.436,2447.847
COK,Cook Islands,2019,0,0,0,0,0,1833.333,596.056,596.056,0,2429.389
MUS,Mauritius,2019,343.832,583.059,0,98.163,0,1295.954,501.05,47.244,11.811,2380.063
VGB,British Virgin Islands,2019,0,0,0,0,0,2266.667,51.933,10.267,41.667,2318.6
KGZ,Kyrgyzstan,2019,0,164.624,0,2136.153,0,12.212,2136.153,0,0,2312.989
CRI,Costa Rica,2019,32.29,0,0,1535.01,0,17.876,2237.664,15.055,355.784,2255.541
TJK,Tajikistan,2019,0,0,0,2035.974,0,151.977,2035.974,0,0,2187.951
PYF,French Polynesia,2019,0,0,0,645.161,0,1370.37,788.889,143.369,0.358,2159.259
IRQ,Iraq,2019,0,0,1284.226,62.401,0,759.352,63.851,1.45,0,2107.429
LCA,Saint Lucia,2019,0,0,0,0,0,2080.146,17.279,17.279,0,2097.424
MNG,Mongolia,2019,0,1847.258,0,28.753,0,0,158.986,12.403,117.829,2006.244
GRD,Grenada,2019,0,0,0,0,0,1973.214,31.205,29.42,1.786,2004.42
JOR,Jordan,2019,0.396,0,1529.99,1.29,0,155.689,268.959,148.485,118.788,1954.638
EGY,Egypt,2019,2.993,0,1491.704,125.081,0,243.733,192.544,36.658,27.812,1927.982
UZB,Uzbekistan,2019,0,372.86,1268.196,165.283,0,44.353,165.49,0.207,0,1850.899
ECU,Ecuador,2019,26.189,0,193.396,1405.454,0,191.174,1438.779,2.187,4.95,1823.349
ALB,Albania,2019,0,0,0,1788.941,0,0,1796.578,7.636,0,1796.578
CUB,Cuba,2019,31.56,0,182.978,15.648,0,1498.815,62.296,13.236,1.853,1744.088
DZA,Algeria,2019,0,0,1709.888,2.472,0,0,17.013,14.285,0.255,1726.9
DOM,Dominican Republic,2019,23.652,310.519,324.772,98.054,0,857.236,231.586,37.247,72.632,1724.113
TUN,Tunisia,2019,0,0,1645.998,5.587,0,0,63.218,14.878,42.753,1709.216
PER,Peru,2019,16.303,19.657,634.728,961.405,0,0,1052.208,23.593,50.907,1706.594
LUX,Luxembourg,2019,352.925,0,316.998,150.614,0,125.295,1111.169,194.359,413.271,1553.463
NIU,Niue,2019,0,0,0,0,0,1500,0,0,0,1500
COL,Colombia,2019,26.163,130.828,239.773,1072.462,0,17.657,1102.439,2.622,1.192,1490.696
JAM,Jamaica,2019,5.201,0,205.525,65.581,0,1025.913,190.185,16.961,102.442,1421.624
GUY,Guyana,2019,5.96,0,0,0,0,1401.447,17.358,10.888,0.511,1418.806
SHN,Saint Helena,2019,0,0,0,0,0,1388.889,0,0,0,1388.889
MDA,Moldova,2019,7.668,1093.477,143.193,73.705,0,0,92.75,0.742,10.636,1329.421
BWA,Botswana,2019,0,1312.355,0,0,0,0,2.17,2.17,0,1314.525
VCT,Saint Vincent and the Grenadines,2019,0,0,0,216.216,0,1054.054,225.225,9.009,0,1279.279
DMA,Dominica,2019,0,0,0,277.778,0,958.333,294.139,2.472,13.889,1252.472
FJI,Fiji,2019,64.903,0,0,637.079,0,476.03,721.757,16.854,2.921,1197.787
MDV,Maldives,2019,0,0,0,0,0,1168.236,4.708,0,4.708,1172.944
BLZ,Belize,2019,363.326,0,0,756.462,0,41.88,1122.511,2.723,0,1164.391
LTU,Lithuania,2019,205.961,0,170.044,127.826,0,71.357,883.862,32.712,517.362,1125.263
MAR,Morocco,2019,0.435,448.704,263.683,44.896,0,123.026,217.519,43.348,128.839,1052.931
IDN,Indonesia,2019,41.504,620.168,180.789,77.411,0,61.753,176.123,0.362,1.788,1038.832
GAB,Gabon,2019,5.216,0,544.988,407.879,0,58.175,414.014,0.92,0,1017.177
SYR,Syria,2019,1.933,0,432.604,50.319,0,526.578,52.252,0,0,1011.434
IND,India,2019,10.743,730.771,35.114,118.369,33.052,0.079,209.588,33.864,46.332,1008.604
GNQ,Equatorial Guinea,2019,0,0,565.433,432.456,0,0,432.456,0,0,997.888
ZMB,Zambia,2019,4.483,111.892,0,771.089,0,56.169,775.594,0.022,0,943.655
HND,Honduras,2019,107.531,0,11.1,362.56,0,223.305,698.492,114.303,83.624,932.898
PHL,Philippines,2019,4.634,449.089,175.442,73.483,0,105.754,198.163,11.525,9.638,928.448
BOL,Bolivia,2019,23.365,0,520.335,279.725,0,0,325.586,16.416,6.08,845.921
SLV,El Salvador,2019,84.909,0,0,223.427,0,265.262,554.434,33.362,0,819.696
GTM,Guatemala,2019,158.865,115.385,0,252.441,0,198.305,458.687,13.025,18.827,772.376
LKA,Sri Lanka,2019,4.549,170.631,0,303.867,0,228.456,342.978,17.351,17.211,742.065
WSM,Samoa,2019,0,0,0,237.32,0,455.161,237.98,0,0.66,693.14
NIC,Nicaragua,2019,119.87,0,35.006,68.031,0,218.973,432.631,3.361,111.518,686.61
PAK,Pakistan,2019,12.28,114.642,114.408,199.231,45.176,164.163,232.938,4.763,16.664,671.327
COG,Dem. Rep. Congo,2019,0,0,356.058,236.6,0,75.132,236.786,0.186,0,667.976
N/A,Africa,2019,0,193.841,260.288,101.474,10.867,62.133,135.93,14.814,13.385,665.189
ZWE,Zimbabwe,2019,14.112,259.845,0,342.779,0,0,357.847,0.956,0,617.692
PRK,North Korea,2019,0,82.124,0,531.832,0,0,532.459,0.584,0.043,614.583
TON,Tonga,2019,0,0,0,0,0,548.077,0,0,0,548.077
MOZ,Mozambique,2019,2.018,0,0,418.145,0,85.046,420.229,0.066,0,505.274
BGD,Bangladesh,2019,0.018,10.396,364.584,5.029,0,106.673,7.66,2.576,0.037,489.314
PNG,Papua New Guinea,2019,4.718,0,132.194,91.158,0,256.86,96.034,0.158,0,485.088
KHM,Cambodia,2019,4.408,201.491,0,244.435,0,8.855,249.831,0.97,0.018,460.177
NAM,Namibia,2019,0,4.188,0,406.578,0,2.091,419.003,10.421,2.004,425.283
STP,Sao Tome and Principe,2019,0,0,0,31.008,0,387.597,31.008,0,0,418.605
GHA,Ghana,2019,0.548,0,197.829,197.693,0,0,199.327,1.085,0,397.156
SDN,Sudan,2019,2.812,0,44.884,232.84,0,114.406,236.119,0.467,0,395.41
AGO,Angola,2019,7.939,0,40.333,309.501,0,33.734,318.006,0.566,0,392.074
CMR,Cameroon,2019,1.61,0,102.073,206.369,0,26.222,208.713,0.734,0,337.009
SEN,Senegal,2019,5.789,0,0,22.41,0,255.074,33.108,4.909,0,288.182
KIR,Kiribati,2019,0,0,0,0,0,214.689,40.992,40.992,0,255.681
LSO,Lesotho,2019,0,0,0,254.511,0,0,254.981,0.471,0,254.981
VUT,Vanuatu,2019,0,0,0,0,0,214.444,33.653,17.653,16,248.098
KEN,Kenya,2019,2.447,0,0,60.353,0,23.472,193.854,1.75,29.73,217.325
MLI,Mali,2019,2.645,0,0,73.41,0,122.397,77.683,1.628,0,200.08
NPL,Nepal,2019,0,0,0,186.166,0,0,189.452,2.796,0.489,189.452
MRT,Mauritania,2019,0,0,42.79,44.189,0,47.356,99.05,31.816,23.045,189.196
GIN,Guinea,2019,0,0,0,54.37,0,124.84,56.015,1.644,0,180.855
NGA,Nigeria,2019,0.132,0,144.17,33.024,0,0,33.321,0.149,0.015,177.491
SLB,Solomon Islands,2019,3.495,0,0,0,0,154.726,7.815,4.321,0,162.542
ERI,Eritrea,2019,0,0,0,0,0,130.1,17.729,17.158,0.572,147.83
GMB,Gambia,2019,0,0,0,0,0,136.428,1.32,1.278,0.043,137.748
COM,Comoros,2019,0,0,0,0.47,0,137.094,0.47,0,0,137.564
ETH,Ethiopia,2019,0.262,0,0,124.835,0,0.048,130.032,0.178,4.756,130.08
COD,Democratic Republic of Dem. Rep. Congo,2019,0.334,0,0.028,126.371,0,0.015,126.82,0.115,0,126.863
TZA,Tanzania,2019,1.287,0,61.335,38.845,0,18.391,41.65,1.517,0,121.375
UGA,Uganda,2019,11.46,0,0,90.338,0,6.533,103.447,1.649,0,109.98
HTI,Haiti,2019,0,0,0,20.656,0,67.797,20.745,0.089,0,88.542
MDG,Madagascar,2019,1.1,26.544,6.541,35.926,0,16.084,37.897,0.853,0.019,87.066
YEM,Yemen,2019,0,0,26.429,0,0,42.616,17.146,17.146,0,86.19
LBR,Liberia,2019,0,0,0,0,0,80.278,0.81,0.81,0,81.088
MWI,Malawi,2019,2.942,0,9.233,62.095,0,0,67.72,2.684,0,76.953
RWA,Rwanda,2019,0.193,0,17.248,27.474,0,12.793,31.943,4.277,0,61.985
BFA,Burkina Faso,2019,0.08,0,0,6.873,0,51.654,9.562,2.608,0,61.216
PSE,Palestine,2019,0.074,0,0,0,0,59.068,0.074,0,0,59.142
SSD,South Sudan,2019,0,0,0,0,0,49.399,0.271,0.271,0,49.67
TGO,Togo,2019,0,0,10.31,0,0,36.872,0.371,0.371,0,47.553
DJI,Djibouti,2019,0,0,0,0,0,41.068,1.027,1.027,0,42.094
SLE,Sierra Leone,2019,0.502,0,0,23.039,0,10.794,24.309,0.768,0,35.103
CAF,Central African Republic,2019,0,0,0,31.612,0,0.211,31.612,0,0,31.823
BDI,Burundi,2019,0.496,0,0,19.079,0,9.8,20.269,0.694,0,30.068
AFG,Afghanistan,2019,0,0,3.996,22.081,0,0,23.132,1.051,0,27.128
NER,Niger,2019,0,5.682,0,0,0,18.526,1.03,1.03,0,25.238
GNB,Guinea-Bissau,2019,0,0,0,0,0,21.864,1.041,1.041,0,22.905
SOM,Somalia,2019,0,0,0,0,0,21.369,1.114,0.712,0.401,22.483
TCD,Chad,2019,0,0,0,0,0,13.921,0.564,0,0.564,14.485
BEN,Benin,2019,0.008,0,8.247,0,0,4.073,0.432,0.424,0,12.752
N/A,Asia Pacific,2019,0,0,0,0,0,0,0,0,0,0
N/A,CIS,2019,0,0,0,0,0,0,0,0,0,0
N/A,Central America,2019,0,0,0,0,0,0,0,0,0,0
N/A,Eastern Africa,2019,0,0,0,0,0,0,0,0,0,0
N/A,Europe (other),2019,0,0,0,0,0,0,0,0,0,0
OWID_KOS,Kosovo,2019,0,0,0,0,0,0,0,0,0,0
MAC,Macau,2019,0,0,0,0,0,0,0,0,0,0
N/A,Middle Africa,2019,0,0,0,0,0,0,0,0,0,0
N/A,Middle East,2019,0,0,0,0,0,0,0,0,0,0
MMR,Myanmar,2019,0,0,0,0,0,0,0,0,0,0
ANT,Netherlands Antilles,2019,0,0,0,0,0,0,0,0,0,0
N/A,Other Asia & Pacific,2019,0,0,0,0,0,0,0,0,0,0
N/A,Other CIS,2019,0,0,0,0,0,0,0,0,0,0
N/A,Other Caribbean,2019,0,0,0,0,0,0,0,0,0,0
N/A,Other Middle East,2019,0,0,0,0,0,0,0,0,0,0
N/A,Other Northern Africa,2019,0,0,0,0,0,0,0,0,0,0
N/A,Other South America,2019,0,0,0,0,0,0,0,0,0,0
N/A,Other Southern Africa,2019,0,0,0,0,0,0,0,0,0,0
N/A,South & Central America,2019,0,0,0,0,0,0,0,0,0,0
N/A,Western Africa,2019,0,0,0,0,0,0,0,0,0,0
ESH,Western Sahara,2019,0,0,0,0,0,0,0,0,0,0
