iso_code,country,year,biofuel_elec_per_capita,biofuel_consumption,biofuel_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_consumption,renewables_energy_per_capita,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
N/A,Asia Pacific,1989,0,0,0,9567.977,0,0,9266.09,0,2287.685,0,945.36,1592.589,241.565,388.044,265.596,405.665,414.287,0,0,0,0,0,0,0,1409.276,0,0,1383.83,0,0,0,0,0,0,0,7489.242,0,0,3655.584,0,0,0,20355.062,0,0,0,0,0,0,0,0,0
N/A,Asia Pacific,1999,0,0,0,12901.125,0,0,12474.374,0,4039.029,0,1993.877,2989.412,577.148,500.243,486.471,418.386,543.785,0.286,2.053,0,0,0,0,0,2772.941,0,0,2615.279,0,0,0,0,0,0,0,11630.27,0,0,4208.654,0,0,0,30166.16,0,0,0,0,0,0,0,0,0
N/A,Asia Pacific,2009,0,0,0,27179.024,0,0,26039.029,0,7537.454,0,4552.347,5851.45,1045.365,968.086,553.403,253.738,1115.373,4.409,54.88,0,0,0,0,0,5156.502,0,0,4445.933,0,0,0,0,0,0,0,14626.581,0,0,4463.433,0,0,0,51385.839,0,0,0,0,0,0,0,0,0
N/A,Asia Pacific,2019,0,0,0,33949.591,0,0,34644.414,0,12690.482,0,7376.391,8998.524,1482.65,1783.657,647.332,139.483,2929.861,393.922,514.26,0,0,0,0,0,8699.249,0,0,6721.323,0,0,0,0,0,0,0,19872.056,0,0,4200.776,0,0,0,71544.479,0,0,0,0,0,0,0,0,0
AUS,Australia,1959,0,0,0,0,0,0,164.16,16368.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10029000,0,0,0,0,0,0,0,0,0,0
AUS,Australia,1969,0,0,0,229.278,0,18314.399,0,0,0,0,0,0,0,0,0,0,0,0,0,2.188,41597.247,495.853,39608.02,0,4.127,0,329.619,0,0,24.123,0,1926.877,0,0,0,262.448,0,20964.001,25.842,2064.208,0,12519000,520.756,0,24.903,1989.227,0,0,0,0,0,0
AUS,Australia,1979,0,0,0,315.542,0,21892.869,0,0,0,0,0,0,0,0,0,0,0,0,0,2.552,57896.244,793.725,55070.079,0,96.375,0,6686.69,96.375,6686.69,39.572,0,2745.605,0,0,0,381.808,0,26490.52,270.264,18751.397,0,14413000,834.459,0,40.734,2826.165,0,0,0,0,0,0
AUS,Australia,1989,0,0,0,433.959,6794.304,25963.784,1274.679,76264.151,151.433,0,113.56,131.712,15.128,14.254,0,3.024,15.064,0,0,2.249,62154.656,997.009,59651.152,7880.34,166.876,905.109,9984.191,177.076,10594.459,39.594,852.798,2368.886,0,0,0,396.175,180.926,23703.177,302.84,18118.963,9060.249,16714000,1038.853,901.261,41.844,2503.504,0,0,0,0,0,0
AUS,Australia,1999,0,0,0,587.37,9110.145,31263.031,1931.919,102827.308,206.9,0,171.161,189.041,16.123,16.282,0,1.756,17.499,0.041,0.043,2.021,69611.747,1259.258,67024.603,10061.789,201.741,858.154,10737.742,307.126,16346.901,45.226,866.59,2407.197,0,0,0,470.148,93.491,25023.83,318.979,16977.786,11012.322,18788000,1307.866,931.371,48.607,2587.144,0.113,2.161,6.003,0.119,2.289,6.357
AUS,Australia,2009,129.419,12.698,583.769,654.79,7877.993,30103.901,2822.836,129779.603,234.745,2.815,171.354,216.28,38.713,11.684,0,6.213,18.465,0.16,3.806,1.641,69941.698,1455.724,66926.746,9943.451,291.365,1779.814,13395.457,466.976,21469.188,33.166,537.171,1524.799,0,0,0,509.569,285.644,23427.389,259.793,11943.934,10792.377,21751000,1521.302,848.926,65.578,3014.951,0.761,7.356,35.007,11.642,174.98,535.251
